ID;Fecha_de_Venta;Año_del_vehiculo;Marca;Modelo;Version;Tipo_de_Combustible;transmisión;Kilometraje;Precio_de_Venta (ARS);Provincia;Ciudad;Tipo_de_Vendedor;Patente;Color;Numero_de_dueños;Fecha_de_Publicacion
31;44116;2020;Chevrolet;Cruze;Base;Diésel;Automatica;147712;10725902;Mendoza;Godoy Cruz;Agencia;ZJG317;Rojo;1;44098
32;43909;2009;Renault;Duster;Base;Diésel;Manual;223196;6058819;Santa Fe;Rafaela;Particular;FEN326;Plateado;2;43895
33;45174;2015;Ford;Ka;Pack Seguridad;Hibrido;Manual;16593;7340518;Santa Fe;Rafaela;Agencia;YQY260;Blanco;2;45126
34;45050;2011;Renault;Kwid;XEI 1.8 CVT;Nafta;Manual;239767;11711965;Santa Fe;Rafaela;Particular;JMS687;Azul;1;45042
35;44169;2010;Renault;Logan;XEI 1.8 CVT;Electrico;Automatica;138986;8713617;Tucuman;Alderetes;Agencia;DDL805;Plateado;3;44128
36;44571;2016;Volkswagen;Gol;Highline;Diésel;Automatica;140752;11809423;Salta;Cafayate;Agencia;EME812;Plateado;3;44521
37;44879;2014;Peugeot;2008;Pack Seguridad;Hibrido;Automatica;12517;7153198;Tucuman;Alderetes;Particular;LMC193;Gris;3;44838
38;44793;2014;Ford;EcoSport;Limited;Electrico;Automatica;31067;7431432;Tucuman;Alderetes;Agencia;UQN998;Azul;2;44772
39;44871;2010;Renault;Duster;Highline;Electrico;Automatica;93295;2842127;Tucuman;Alderetes;Particular;QPT462;Negro;3;44835
40;44541;2022;Toyota;Corolla;Base;Electrico;Automatica;70983;1959403;Santa Fe;Rafaela;Agencia;NKG107;Blanco;1;44532
41;43944;2021;Renault;Sandero;Full;Nafta;Automatica;240281;4208585;Santa Fe;Rafaela;Agencia;EPX425;Azul;2;43884
42;44273;2013;Toyota;Corolla;Full;Hibrido;Automatica;74712;3981666;Buenos Aires;La mantaza ;Particular;ZPH849;Plateado;2;44255
43;43843;2014;Volkswagen;Gol;Base;Nafta;Automatica;87663;10881612;Buenos Aires;La mantaza ;Particular;HGV124;Gris;4;43784
44;44690;2020;Ford;Ka;Full;Hibrido;Automatica;92284;2658529;Salta;Cafayate;Agencia;TVN493;Gris;3;44651
45;44898;2021;Toyota;Corolla;XEI 1.8 CVT;Electrico;Manual;180708;2643325;Mendoza;Godoy Cruz;Particular;FOB740;Plateado;4;44863
46;45119;2010;Toyota;Yaris;Highline;Diésel;Automatica;126214;6903523;Mendoza;Godoy Cruz;Particular;OQK052;Azul;3;45079
47;44982;2021;Chevrolet;Tracker;Full;Electrico;Automatica;249083;7834433;Tucuman;Alderetes;Particular;HES680;Gris;1;44926
48;45235;2016;Renault;Duster;Limited;Nafta;Manual;103275;9360229;Buenos Aires;La mantaza ;Agencia;JJB059;Azul;1;45216
49;44028;2015;Peugeot;Partner;Base;Diésel;Automatica;194588;3012282;Salta;Cafayate;Agencia;NRP505;Gris;1;43969
50;44867;2011;Peugeot;308;Pack Seguridad;Diésel;Automatica;95253;6378775;Cordoba;Rio cuarto;Particular;VJP869;Negro;2;44829
51;45174;2020;Volkswagen;Gol;Full;Hibrido;Automatica;106701;2777436;Cordoba;Rio cuarto;Particular;LVV260;Gris;4;45122
52;45046;2022;Volkswagen;Vento;Pack Seguridad;Diésel;Automatica;30745;11824340;Mendoza;Godoy Cruz;Particular;YSG342;Gris;1;45008
53;44425;2020;Toyota;Corolla;Pack Seguridad;Hibrido;Manual;33515;8245650;Santa Fe;Rafaela;Agencia;WTY337;Rojo;4;44410
54;45184;2011;Volkswagen;Vento;Base;Electrico;Manual;98478;8752964;Salta;Cafayate;Particular;VRE036;Negro;4;45158
55;45032;2015;Renault;Sandero;Base;Electrico;Manual;59304;8828671;Buenos Aires;La mantaza ;Particular;VBH868;Plateado;4;44992
56;45193;2011;Chevrolet;Cruze;Base;Nafta;Automatica;214291;11669401;Tucuman;Alderetes;Particular;GMB940;Negro;1;45164
57;44368;2013;Ford;Ranger;Base;Diésel;Manual;220098;8576309;Buenos Aires;La mantaza ;Particular;YKM981;Gris;4;44321
58;44226;2020;Volkswagen;Vento;Limited;Nafta;Automatica;180363;11328215;Santa Fe;Rafaela;Particular;ZIR608;Plateado;1;44172
59;44948;2022;Volkswagen;T-Cross;Highline;Diésel;Automatica;101549;3921136;Buenos Aires;La mantaza ;Particular;NUQ615;Plateado;2;44912
60;45148;2019;Volkswagen;Amarok;Limited;Hibrido;Manual;30570;6465299;Tucuman;Alderetes;Particular;QAU484;Azul;2;45114
61;44456;2013;Chevrolet;S10;Pack Seguridad;Electrico;Manual;97989;7296839;Cordoba;Rio cuarto;Particular;QYR236;Blanco;4;44450
62;44993;2013;Ford;Ka;Pack Seguridad;Nafta;Manual;17085;4018358;Mendoza;Godoy Cruz;Particular;JAT946;Rojo;1;44933
63;44276;2011;Renault;Duster;Limited;Nafta;Automatica;181469;8370147;Mendoza;Godoy Cruz;Agencia;DCC995;Rojo;4;44224
64;44880;2021;Chevrolet;S10;Pack Seguridad;Hibrido;Automatica;207580;9106964;Buenos Aires;La mantaza ;Agencia;SGQ721;Negro;4;44860
65;44814;2016;Chevrolet;S10;Base;Hibrido;Automatica;171761;8579354;Mendoza;Godoy Cruz;Particular;ZMJ343;Plateado;2;44767
66;43868;2020;Renault;Duster;Base;Electrico;Automatica;231827;4338934;Tucuman;Alderetes;Particular;DAO791;Azul;1;43810
67;44725;2021;Chevrolet;S10;XEI 1.8 CVT;Diésel;Automatica;97544;10682325;Santa Fe;Rafaela;Agencia;PJP676;Rojo;1;44680
68;44899;2022;Ford;EcoSport;Pack Seguridad;Nafta;Manual;236937;1970841;Cordoba;Rio cuarto;Agencia;LZS163;Rojo;4;44841
69;44635;2008;Ford;Ka;Highline;Hibrido;Manual;46890;8925041;Cordoba;Rio cuarto;Agencia;DIZ831;Negro;3;44592
70;44552;2022;Peugeot;208;Highline;Hibrido;Manual;33849;11280307;Tucuman;Alderetes;Agencia;BJC798;Plateado;3;44543
71;45224;2013;Ford;EcoSport;XEI 1.8 CVT;Nafta;Manual;207132;5792394;Tucuman;Alderetes;Agencia;WPO774;Gris;1;45193
72;44261;2018;Renault;Sandero;XEI 1.8 CVT;Nafta;Manual;165416;2876042;Buenos Aires;La mantaza ;Particular;ETS347;Plateado;4;44205
73;44195;2020;Ford;Ka;Full;Diésel;Manual;17377;2536877;Cordoba;Rio cuarto;Agencia;IJO581;Negro;1;44156
74;44426;2013;Peugeot;208;Highline;Hibrido;Manual;135884;4426969;Cordoba;Rio cuarto;Agencia;AVI316;Rojo;3;44386
75;44554;2022;Ford;Ranger;Pack Seguridad;Diésel;Automatica;173799;3091088;Salta;Cafayate;Agencia;XLS366;Blanco;3;44544
76;43861;2022;Toyota;Yaris;Base;Electrico;Automatica;98380;9853130;Mendoza;Godoy Cruz;Agencia;WYA054;Gris;2;43843
77;44667;2008;Ford;Ranger;Pack Seguridad;Hibrido;Manual;106849;4768697;Tucuman;Alderetes;Particular;FBY346;Blanco;1;44645
78;44353;2013;Peugeot;Partner;Pack Seguridad;Electrico;Manual;162243;5029397;Mendoza;Godoy Cruz;Agencia;NIB272;Plateado;1;44315
79;45239;2023;Chevrolet;S10;Pack Seguridad;Hibrido;Manual;238466;10601329;Buenos Aires;La mantaza ;Agencia;PBI901;Gris;3;45179
80;45177;2015;Peugeot;2008;Pack Seguridad;Electrico;Manual;187318;4607352;Santa Fe;Rafaela;Particular;UND046;Azul;2;45169
81;44338;2023;Volkswagen;Gol;Highline;Electrico;Manual;114171;6846292;Salta;Cafayate;Agencia;QFE646;Negro;3;44329
82;43861;2011;Chevrolet;Onix;Full;Nafta;Automatica;203662;8413681;Santa Fe;Rafaela;Particular;WBP310;Rojo;4;43851
83;44140;2020;Peugeot;2008;Base;Hibrido;Manual;89911;10061207;Mendoza;Godoy Cruz;Particular;EQH232;Gris;4;44093
84;44707;2014;Toyota;Etios;Limited;Nafta;Manual;247764;9284000;Salta;Cafayate;Particular;MMV452;Blanco;1;44663
85;44946;2023;Peugeot;Partner;Full;Diésel;Automatica;225244;8038322;Tucuman;Alderetes;Particular;LBT241;Gris;2;44924
86;44725;2013;Peugeot;Partner;Pack Seguridad;Electrico;Automatica;62206;6009212;Tucuman;Alderetes;Agencia;SOP319;Gris;3;44681
87;43989;2017;Peugeot;208;Limited;Diésel;Manual;158226;7488482;Cordoba;Rio cuarto;Agencia;YCW919;Negro;1;43952
88;44658;2015;Chevrolet;Cruze;Full;Electrico;Automatica;135799;7401331;Tucuman;Alderetes;Agencia;PVA518;Plateado;3;44615
89;45150;2011;Peugeot;2008;Pack Seguridad;Hibrido;Automatica;66362;6753792;Mendoza;Godoy Cruz;Agencia;ODT165;Plateado;3;45136
90;44068;2015;Peugeot;2008;Full;Hibrido;Manual;45616;8738371;Mendoza;Godoy Cruz;Particular;ZIX849;Negro;2;44059
91;44582;2022;Ford;Ranger;Highline;Hibrido;Automatica;105089;5062739;Cordoba;Rio cuarto;Particular;PFR945;Plateado;3;44573
92;45200;2010;Volkswagen;Amarok;Full;Diésel;Manual;37946;3049482;Tucuman;Alderetes;Particular;QYV799;Blanco;2;45142
93;43875;2018;Ford;Focus;Full;Nafta;Automatica;248065;4724717;Tucuman;Alderetes;Particular;WZQ273;Gris;3;43859
94;44359;2012;Peugeot;Partner;XEI 1.8 CVT;Nafta;Manual;182526;2746252;Salta;Cafayate;Agencia;HMF480;Negro;1;44333
95;44205;2022;Toyota;Hilux;Full;Electrico;Manual;42860;5501946;Cordoba;Rio cuarto;Agencia;PTF837;Blanco;1;44170
96;44527;2019;Renault;Sandero;Full;Hibrido;Automatica;210339;2134920;Mendoza;Godoy Cruz;Particular;SPT436;Azul;1;44471
97;44862;2015;Renault;Sandero;Pack Seguridad;Nafta;Manual;31815;8429933;Salta;Cafayate;Particular;BVJ885;Rojo;2;44804
98;44344;2009;Toyota;Hilux;Highline;Electrico;Automatica;231642;5003236;Santa Fe;Rafaela;Particular;QOH744;Azul;1;44295
99;44951;2017;Peugeot;Partner;Limited;Diésel;Manual;12589;3212327;Buenos Aires;La mantaza ;Agencia;MNV182;Rojo;1;44941
100;44583;2019;Ford;EcoSport;Pack Seguridad;Nafta;Manual;216017;1951157;Tucuman;Alderetes;Agencia;SGM989;Plateado;3;44562
101;44291;2013;Toyota;Hilux;Base;Electrico;Manual;73446;9842086;Santa Fe;Rafaela;Particular;TII240;Azul;2;44249
102;44257;2017;Peugeot;308;Full;Hibrido;Manual;112095;10970215;Buenos Aires;La mantaza ;Agencia;OWF842;Blanco;1;44200
103;43990;2015;Renault;Kwid;Full;Electrico;Manual;19267;9143180;Mendoza;Godoy Cruz;Particular;CVL477;Gris;3;43960
104;43910;2021;Volkswagen;Vento;XEI 1.8 CVT;Diésel;Automatica;16818;7234455;Cordoba;Rio cuarto;Particular;FEK116;Azul;2;43904
105;44808;2012;Volkswagen;Vento;Full;Electrico;Manual;194377;4764095;Salta;Cafayate;Agencia;FPH294;Blanco;2;44766
106;44697;2011;Peugeot;2008;Full;Nafta;Automatica;147792;6191081;Salta;Cafayate;Agencia;XHY993;Rojo;1;44649
107;44530;2021;Ford;EcoSport;XEI 1.8 CVT;Diésel;Automatica;232367;4585764;Salta;Cafayate;Particular;KND964;Azul;4;44506
108;44778;2011;Ford;Ka;Highline;Diésel;Manual;151367;3311334;Mendoza;Godoy Cruz;Agencia;QFK334;Azul;2;44769
109;44203;2013;Toyota;Corolla;Base;Nafta;Automatica;91431;4960747;Tucuman;Alderetes;Particular;ACS120;Gris;4;44149
110;44753;2018;Ford;EcoSport;Base;Hibrido;Automatica;42474;9416338;Mendoza;Godoy Cruz;Agencia;TSS034;Rojo;1;44744
111;45166;2021;Chevrolet;Onix;Full;Nafta;Automatica;77620;3039477;Salta;Cafayate;Particular;QZM349;Plateado;4;45158
112;44491;2015;Peugeot;2008;Limited;Nafta;Automatica;148129;8329432;Cordoba;Rio cuarto;Agencia;JED324;Plateado;4;44440
113;44088;2016;Chevrolet;S10;Highline;Hibrido;Automatica;120144;2803531;Santa Fe;Rafaela;Particular;HDS947;Negro;3;44031
114;44303;2019;Peugeot;208;Highline;Electrico;Automatica;109518;9828986;Salta;Cafayate;Agencia;CFM887;Azul;3;44274
115;43892;2015;Chevrolet;Cruze;Limited;Diésel;Automatica;172904;11575001;Cordoba;Rio cuarto;Particular;BFO594;Gris;1;43837
116;44878;2020;Peugeot;2008;XEI 1.8 CVT;Hibrido;Manual;36017;3652415;Cordoba;Rio cuarto;Agencia;WWL490;Azul;3;44846
117;44561;2021;Volkswagen;Amarok;Full;Nafta;Manual;203524;11955031;Buenos Aires;La mantaza ;Particular;OFF296;Plateado;1;44504
118;44561;2017;Chevrolet;Cruze;Pack Seguridad;Electrico;Automatica;223696;9272823;Buenos Aires;La mantaza ;Particular;KVA551;Plateado;3;44522
119;44908;2016;Volkswagen;Vento;Highline;Diésel;Automatica;87319;7412204;Salta;Cafayate;Particular;DFU680;Rojo;4;44855
120;44223;2015;Volkswagen;Gol;Base;Diésel;Automatica;78810;2099871;Buenos Aires;La mantaza ;Particular;QID680;Azul;4;44184
121;44472;2016;Toyota;Etios;XEI 1.8 CVT;Electrico;Automatica;18837;8660901;Buenos Aires;La mantaza ;Particular;WFO859;Blanco;2;44465
122;44517;2021;Peugeot;308;Full;Nafta;Manual;12681;7584890;Tucuman;Alderetes;Particular;SCS482;Blanco;3;44459
123;44583;2022;Toyota;Corolla;Highline;Diésel;Manual;89034;3592587;Buenos Aires;La mantaza ;Particular;TJA932;Plateado;1;44523
124;44688;2018;Peugeot;208;Pack Seguridad;Nafta;Automatica;211621;9630248;Santa Fe;Rafaela;Agencia;HPJ317;Negro;2;44644
125;44605;2023;Chevrolet;Cruze;Base;Electrico;Manual;244785;7673298;Cordoba;Rio cuarto;Agencia;EPD467;Blanco;3;44568
126;44687;2019;Toyota;Etios;XEI 1.8 CVT;Electrico;Manual;131551;5022058;Tucuman;Alderetes;Agencia;VIE398;Negro;2;44663
127;44260;2008;Peugeot;2008;Base;Nafta;Manual;30340;7809695;Tucuman;Alderetes;Agencia;SUT840;Negro;4;44220
128;45131;2015;Toyota;Corolla;Highline;Hibrido;Automatica;203679;6510068;Salta;Cafayate;Agencia;WVJ787;Gris;2;45105
129;45016;2014;Ford;Ka;Pack Seguridad;Diésel;Automatica;212890;5012243;Buenos Aires;La mantaza ;Agencia;KYO533;Negro;4;44977
130;45160;2017;Peugeot;2008;XEI 1.8 CVT;Electrico;Manual;184466;4122297;Salta;Cafayate;Agencia;YQY576;Gris;3;45130
131;45105;2014;Chevrolet;S10;Highline;Electrico;Manual;237952;10186300;Salta;Cafayate;Particular;LVG028;Plateado;4;45054
132;45189;2019;Toyota;Hilux;Pack Seguridad;Diésel;Automatica;98159;8523422;Buenos Aires;La mantaza ;Agencia;UJA870;Gris;1;45139
133;45183;2018;Volkswagen;T-Cross;Limited;Diésel;Automatica;204606;7200916;Santa Fe;Rafaela;Agencia;NSZ745;Rojo;3;45153
134;44840;2019;Peugeot;308;Base;Electrico;Manual;225943;8192074;Salta;Cafayate;Particular;OTW865;Negro;1;44793
135;44589;2015;Peugeot;308;Pack Seguridad;Hibrido;Manual;196979;3235029;Mendoza;Godoy Cruz;Agencia;OVF134;Azul;3;44532
136;44505;2021;Ford;Ka;Pack Seguridad;Diésel;Automatica;218627;5294020;Cordoba;Rio cuarto;Particular;STB172;Azul;2;44472
137;43902;2015;Peugeot;2008;Pack Seguridad;Nafta;Manual;102507;3846291;Santa Fe;Rafaela;Agencia;XBJ045;Azul;2;43887
138;44210;2021;Ford;Ka;Full;Diésel;Automatica;68482;10665385;Cordoba;Rio cuarto;Agencia;FNY222;Plateado;1;44167
139;44793;2014;Toyota;Corolla;Limited;Diésel;Manual;209462;9495528;Buenos Aires;La mantaza ;Agencia;DOQ923;Negro;1;44777
140;44544;2016;Ford;Focus;Highline;Hibrido;Manual;190655;11542805;Tucuman;Alderetes;Agencia;RIK074;Gris;2;44533
141;43945;2016;Peugeot;308;XEI 1.8 CVT;Electrico;Automatica;121537;3790364;Salta;Cafayate;Particular;SQD946;Rojo;2;43887
142;45144;2020;Renault;Sandero;XEI 1.8 CVT;Diésel;Manual;156007;10589062;Salta;Cafayate;Particular;PYK671;Gris;3;45134
143;44388;2015;Renault;Duster;Highline;Hibrido;Automatica;123790;8042032;Santa Fe;Rafaela;Agencia;RAK406;Negro;2;44329
144;45174;2014;Peugeot;Partner;Full;Hibrido;Manual;125109;9605061;Salta;Cafayate;Agencia;MZW743;Gris;4;45136
145;44171;2015;Chevrolet;Onix;Highline;Diésel;Automatica;72228;7549701;Mendoza;Godoy Cruz;Particular;OPC421;Gris;1;44133
146;44310;2020;Volkswagen;Vento;Base;Hibrido;Manual;248910;8559314;Santa Fe;Rafaela;Particular;FSU952;Azul;1;44304
147;44992;2014;Volkswagen;T-Cross;Limited;Diésel;Manual;147528;5890257;Buenos Aires;La mantaza ;Agencia;XHG328;Plateado;1;44953
148;45250;2012;Ford;EcoSport;Base;Electrico;Manual;122626;6684562;Salta;Cafayate;Particular;VVZ474;Negro;2;45241
149;44009;2011;Chevrolet;Tracker;Full;Nafta;Automatica;32677;4535638;Santa Fe;Rafaela;Agencia;ZJX236;Azul;2;43993
150;43971;2010;Ford;EcoSport;Full;Hibrido;Automatica;135723;6023088;Santa Fe;Rafaela;Particular;DXR481;Negro;1;43935
151;44994;2015;Renault;Kwid;Pack Seguridad;Electrico;Automatica;207603;5756171;Salta;Cafayate;Agencia;ROE651;Gris;2;44962
152;43869;2023;Chevrolet;Tracker;XEI 1.8 CVT;Hibrido;Manual;109211;10091681;Buenos Aires;La mantaza ;Particular;STP317;Blanco;4;43863
153;44465;2023;Chevrolet;Onix;Full;Nafta;Automatica;202611;4706847;Salta;Cafayate;Particular;FHG004;Gris;4;44459
154;44195;2009;Ford;EcoSport;Pack Seguridad;Electrico;Manual;131919;4228558;Santa Fe;Rafaela;Agencia;ALV758;Gris;1;44146
155;44959;2014;Volkswagen;Vento;Base;Diésel;Manual;235048;11821330;Santa Fe;Rafaela;Particular;ARC179;Rojo;2;44944
156;44903;2013;Volkswagen;Gol;XEI 1.8 CVT;Hibrido;Automatica;57272;5626427;Santa Fe;Rafaela;Particular;XGR773;Blanco;1;44870
157;44401;2008;Chevrolet;Tracker;Pack Seguridad;Nafta;Manual;66774;6491056;Santa Fe;Rafaela;Particular;HDF643;Gris;4;44373
158;44860;2016;Peugeot;2008;Pack Seguridad;Hibrido;Automatica;89853;10772788;Salta;Cafayate;Agencia;YVP900;Plateado;2;44843
159;44026;2018;Ford;Ka;Highline;Nafta;Automatica;65661;2089523;Tucuman;Alderetes;Agencia;NOV839;Negro;3;43977
160;45033;2009;Chevrolet;Onix;Base;Nafta;Automatica;101946;4827457;Santa Fe;Rafaela;Agencia;JII904;Rojo;3;45016
161;44220;2009;Chevrolet;Onix;Pack Seguridad;Hibrido;Automatica;106363;2598244;Buenos Aires;La mantaza ;Particular;WYY020;Rojo;3;44174
162;44200;2022;Toyota;Etios;Full;Electrico;Manual;102549;2686665;Mendoza;Godoy Cruz;Particular;IVA240;Rojo;4;44150
163;44648;2021;Peugeot;2008;Base;Hibrido;Manual;184263;1726270;Cordoba;Rio cuarto;Particular;XXG177;Negro;1;44600
164;44753;2016;Peugeot;2008;Base;Nafta;Automatica;172172;11808949;Tucuman;Alderetes;Agencia;CUY839;Gris;1;44707
165;45242;2020;Ford;Ka;XEI 1.8 CVT;Hibrido;Manual;75039;11388861;Salta;Cafayate;Particular;ZBR007;Negro;2;45196
166;43998;2022;Volkswagen;Amarok;Limited;Electrico;Manual;201809;5842827;Tucuman;Alderetes;Particular;UMJ711;Gris;4;43945
167;43933;2014;Renault;Duster;Base;Diésel;Automatica;184733;5919196;Cordoba;Rio cuarto;Particular;TUY998;Azul;1;43873
168;44759;2014;Volkswagen;Vento;Base;Hibrido;Manual;160570;11964376;Tucuman;Alderetes;Agencia;GYS896;Plateado;4;44734
169;44008;2010;Chevrolet;Tracker;Highline;Nafta;Manual;159105;3067309;Santa Fe;Rafaela;Agencia;VDZ736;Azul;2;43990
170;44477;2022;Toyota;Yaris;Pack Seguridad;Electrico;Automatica;129377;7507946;Mendoza;Godoy Cruz;Particular;XJR654;Blanco;1;44468
171;45264;2013;Ford;Ka;Base;Electrico;Manual;92672;3939594;Mendoza;Godoy Cruz;Particular;BGV111;Plateado;4;45212
172;44978;2008;Volkswagen;Gol;Pack Seguridad;Nafta;Automatica;30297;4839104;Cordoba;Rio cuarto;Agencia;LJJ280;Blanco;3;44970
173;44343;2017;Ford;Ranger;Limited;Nafta;Manual;123425;11270918;Mendoza;Godoy Cruz;Particular;SMT560;Plateado;3;44324
174;44377;2011;Volkswagen;T-Cross;Limited;Electrico;Automatica;51558;6623256;Mendoza;Godoy Cruz;Agencia;QEO832;Rojo;1;44366
175;45147;2008;Toyota;Hilux;Pack Seguridad;Nafta;Automatica;41627;8832286;Mendoza;Godoy Cruz;Particular;WRK851;Blanco;2;45129
176;44182;2014;Toyota;Yaris;XEI 1.8 CVT;Hibrido;Manual;142902;2289267;Salta;Cafayate;Particular;BMQ998;Rojo;2;44175
177;45119;2013;Peugeot;308;Limited;Diésel;Automatica;198949;6093641;Tucuman;Alderetes;Particular;VWA244;Negro;1;45088
178;44112;2021;Toyota;Etios;Highline;Electrico;Manual;90334;5972353;Buenos Aires;La mantaza ;Particular;VOB612;Gris;4;44068
179;43973;2008;Chevrolet;Tracker;Full;Electrico;Manual;169375;3050306;Buenos Aires;La mantaza ;Particular;KXT675;Negro;3;43955
180;44951;2017;Ford;EcoSport;Full;Diésel;Automatica;133101;7716720;Mendoza;Godoy Cruz;Agencia;DJK991;Plateado;4;44939
181;45002;2015;Renault;Logan;Limited;Diésel;Automatica;169933;10408317;Cordoba;Rio cuarto;Agencia;QBF147;Azul;1;44996
182;44774;2018;Peugeot;2008;Pack Seguridad;Nafta;Manual;232215;11352686;Buenos Aires;La mantaza ;Particular;HWB438;Blanco;1;44731
183;44003;2012;Ford;Focus;Pack Seguridad;Electrico;Automatica;121774;1716496;Tucuman;Alderetes;Agencia;QTC978;Blanco;1;43985
184;44173;2008;Chevrolet;Onix;XEI 1.8 CVT;Hibrido;Manual;157156;9831447;Tucuman;Alderetes;Particular;TNX003;Gris;4;44120
185;44044;2010;Toyota;Corolla;Highline;Diésel;Manual;209322;5068146;Santa Fe;Rafaela;Agencia;FVB510;Gris;1;44019
186;44103;2020;Volkswagen;Vento;XEI 1.8 CVT;Hibrido;Manual;116418;2418325;Mendoza;Godoy Cruz;Particular;JQZ838;Plateado;2;44070
187;44381;2010;Toyota;Hilux;Base;Hibrido;Automatica;188287;3837425;Buenos Aires;La mantaza ;Agencia;DEU060;Blanco;4;44363
188;44725;2009;Peugeot;2008;Pack Seguridad;Hibrido;Automatica;198263;10539567;Tucuman;Alderetes;Agencia;HZB664;Negro;4;44665
189;44335;2008;Volkswagen;Gol;Full;Hibrido;Manual;134589;4984344;Cordoba;Rio cuarto;Agencia;FBG975;Blanco;3;44326
