tipo_de_carretera;numeros_de_carriles;curvatura;limite_de_velocidad;iluminacion;clima;seniales_presentes;carretera_publica;momento_del_dia;feriado;temporada_escolar;nro_accidentes_reportados;riesgo_de_accidente
autopista;3;0,38;60;noche;despejado;si;si;mañana;si;no;0;0,51
rural;3;0,96;35;poca_luz;neblina;no;no;mañana;si;no;1;0,44
rural;4;0,33;45;noche;lluvioso;no;si;mañana;no;si;2;0,39
urban;3;0,95;35;poca_luz;despejado;no;si;tarde;no;no;2;0,29
autopista;3;0,61;45;noche;neblina;si;si;mañana;no;si;1;0,53
urban;2;0,03;60;luz;despejado;no;si;tarde;si;si;2;0,21
urban;4;0,08;25;luz;lluvioso;no;si;noche;no;si;0;0,09
urban;4;0,98;70;noche;neblina;no;no;noche;si;no;0;0,81
urban;1;0,31;70;luz;neblina;si;no;mañana;no;si;2;0,35
urban;2;0,01;70;luz;lluvioso;no;si;noche;no;si;1;0,26
urban;3;0,08;70;poca_luz;neblina;si;no;mañana;no;no;0;0,29
urban;4;0,53;60;poca_luz;neblina;no;si;tarde;si;no;0;0,43
autopista;1;0,23;35;poca_luz;lluvioso;no;no;mañana;si;si;2;0,22
rural;2;0,75;45;luz;lluvioso;no;no;noche;si;si;2;0,31
urban;3;0,88;45;noche;lluvioso;si;si;mañana;si;no;1;0,62
urban;2;0,36;70;noche;neblina;si;si;noche;si;si;0;0,61
urban;2;0,7;35;luz;neblina;no;si;mañana;si;si;2;0,3
urban;3;0,72;70;poca_luz;despejado;si;no;mañana;no;no;0;0,32
urban;1;0,47;70;luz;neblina;no;no;tarde;si;si;2;0,39
urban;3;0,26;45;luz;despejado;si;no;noche;si;si;2;0,01
rural;4;0,76;60;luz;neblina;no;no;tarde;no;no;2;0,58
rural;3;0,05;45;luz;lluvioso;si;si;mañana;si;no;2;0,18
urban;2;0,08;35;noche;neblina;si;si;mañana;no;si;3;0,46
rural;1;0,12;25;poca_luz;neblina;si;si;tarde;si;si;1;0,15
autopista;3;0,32;25;noche;despejado;si;no;noche;si;si;1;0,27
urban;4;0,3;25;poca_luz;lluvioso;no;no;mañana;no;si;1;0,12
autopista;1;0,32;35;poca_luz;lluvioso;si;si;tarde;no;no;1;0,15
autopista;2;0,1;25;noche;lluvioso;no;no;mañana;no;no;3;0,46
urban;3;0,42;70;noche;despejado;no;no;noche;si;no;0;0,55
rural;1;0,48;60;luz;lluvioso;si;si;noche;si;no;0;0,44
autopista;1;0,88;35;noche;despejado;no;si;tarde;no;si;1;0,41
urban;2;0,93;70;noche;despejado;si;si;mañana;si;no;2;0,55
autopista;1;0,33;45;poca_luz;neblina;si;si;tarde;si;no;0;0,16
autopista;1;0,96;35;poca_luz;lluvioso;no;si;mañana;si;no;0;0,36
autopista;4;0,48;25;noche;neblina;si;si;tarde;no;si;0;0,44
autopista;1;0,84;45;luz;lluvioso;no;no;mañana;no;no;1;0,34
rural;3;0,01;25;noche;despejado;si;no;noche;no;no;0;0,23
autopista;4;0,08;45;poca_luz;neblina;no;si;mañana;no;no;2;0,05
autopista;4;0,42;60;noche;lluvioso;si;si;noche;si;no;2;0,6
autopista;3;0,4;70;noche;neblina;si;si;mañana;no;si;0;0,56
rural;4;0,46;25;luz;neblina;no;no;noche;no;no;0;0,17
autopista;2;0,26;45;poca_luz;despejado;si;si;tarde;si;no;1;0,03
autopista;2;0,58;70;poca_luz;neblina;si;no;mañana;si;no;3;0,54
rural;3;0,74;60;noche;neblina;no;no;noche;si;no;1;0,77
rural;1;0,13;25;luz;neblina;no;no;mañana;no;si;0;0,1
rural;4;0,55;25;poca_luz;neblina;no;no;tarde;si;si;1;0,26
autopista;3;0,24;45;luz;neblina;si;no;noche;no;si;0;0,21
rural;4;0,89;60;poca_luz;neblina;si;no;tarde;si;si;2;0,6
rural;2;0,91;45;noche;neblina;si;no;mañana;no;no;5;0,7
autopista;2;0,71;70;poca_luz;lluvioso;no;no;tarde;si;no;1;0,47
rural;3;0,17;45;noche;despejado;no;no;tarde;si;si;4;0,34
autopista;4;0,95;45;poca_luz;despejado;no;no;tarde;no;no;1;0,26
urban;2;0,74;45;poca_luz;lluvioso;no;si;tarde;no;no;3;0,49
rural;4;0,1;60;noche;lluvioso;no;no;noche;si;no;3;0,63
urban;2;0,58;45;noche;despejado;no;no;noche;no;no;0;0,38
autopista;2;0,62;45;luz;neblina;si;no;tarde;no;si;1;0,3
rural;2;0,59;70;poca_luz;neblina;no;si;noche;si;si;2;0,5
autopista;2;0,54;70;noche;neblina;no;si;noche;si;no;0;0,57
urban;1;0,07;35;poca_luz;despejado;no;si;tarde;si;no;1;0
autopista;3;0,2;35;poca_luz;despejado;si;no;noche;no;si;2;0,18
rural;4;0,93;35;luz;neblina;no;no;mañana;no;si;1;0,33
rural;2;0,77;45;luz;neblina;si;si;noche;si;si;2;0,27
urban;2;0,57;70;poca_luz;lluvioso;no;si;tarde;si;no;2;0,46
autopista;2;0,58;60;noche;lluvioso;no;no;tarde;si;no;1;0,62
rural;3;0,3;35;luz;lluvioso;si;no;noche;si;no;2;0,2
urban;4;0,32;70;luz;lluvioso;no;si;mañana;si;no;1;0,43
rural;3;0,13;25;noche;lluvioso;si;si;tarde;si;no;0;0,34
rural;3;0,93;60;poca_luz;despejado;no;si;mañana;no;si;3;0,46
autopista;2;0,66;35;noche;neblina;si;no;tarde;si;si;0;0,46
rural;4;0,27;70;luz;neblina;no;si;mañana;no;no;0;0,48
autopista;2;0,71;60;poca_luz;despejado;no;si;noche;si;si;3;0,52
rural;3;0,85;60;poca_luz;lluvioso;si;si;mañana;si;si;0;0,62
urban;1;0,7;45;luz;lluvioso;si;no;noche;si;no;1;0,32
rural;1;0,28;70;noche;lluvioso;si;si;mañana;si;no;2;0,61
autopista;3;0,22;60;poca_luz;neblina;si;no;noche;si;si;2;0,37
autopista;2;0,11;45;noche;lluvioso;si;si;mañana;si;no;1;0,39
urban;2;0,4;25;noche;neblina;no;si;tarde;si;si;1;0,42
rural;4;0,93;70;poca_luz;lluvioso;si;si;tarde;no;no;0;0,64
rural;4;0,2;35;luz;neblina;si;no;noche;no;si;2;0,2
urban;1;0,48;25;luz;neblina;no;no;tarde;no;si;0;0,19
rural;2;0,01;45;noche;lluvioso;si;si;mañana;no;no;1;0,37
rural;3;0,84;70;luz;lluvioso;si;si;mañana;no;no;0;0,53
autopista;2;0,62;70;noche;lluvioso;si;no;tarde;si;si;1;0,65
rural;2;0,32;70;noche;despejado;si;no;mañana;no;si;1;0,55
rural;3;0,13;25;poca_luz;lluvioso;si;si;mañana;no;si;0;0,18
urban;1;0,63;45;luz;lluvioso;no;si;noche;no;si;1;0,27
urban;3;0,54;25;luz;despejado;no;si;noche;no;si;2;0,16
autopista;2;0,98;70;luz;neblina;no;si;noche;si;no;3;0,77
rural;3;0,47;45;poca_luz;neblina;no;si;mañana;si;no;1;0,24
rural;4;0,16;25;noche;neblina;si;no;noche;no;no;0;0,39
rural;4;0,85;60;noche;neblina;no;no;tarde;no;no;1;0,71
autopista;4;0,89;70;noche;lluvioso;si;si;tarde;si;no;1;0,76
autopista;4;0,1;70;noche;despejado;no;si;tarde;no;no;3;0,6
urban;3;0,83;60;poca_luz;neblina;si;si;tarde;si;no;3;0,59
autopista;1;0,26;60;poca_luz;lluvioso;si;si;tarde;si;si;1;0,39
rural;1;0,54;25;luz;despejado;no;no;noche;no;si;0;0,17
rural;4;0,59;45;noche;lluvioso;si;no;noche;no;no;1;0,41
autopista;2;0,9;45;noche;despejado;no;si;tarde;no;si;0;0,4
rural;3;0,16;45;poca_luz;neblina;no;si;mañana;no;no;2;0,13
rural;2;0,02;60;noche;neblina;si;si;noche;si;no;1;0,53
autopista;4;0,6;60;luz;lluvioso;si;no;noche;no;si;2;0,52
autopista;3;0,63;35;noche;despejado;no;no;noche;si;si;1;0,4
rural;4;0,97;70;noche;lluvioso;si;si;mañana;no;no;1;0,73
rural;3;0,1;35;luz;despejado;si;si;noche;no;no;2;0,04
rural;4;0,41;45;luz;lluvioso;si;si;mañana;no;no;3;0,29
urban;1;0,71;35;poca_luz;neblina;no;si;mañana;si;no;1;0,36
urban;3;0,56;25;poca_luz;lluvioso;si;si;tarde;no;si;2;0,38
urban;1;0,95;45;luz;despejado;si;si;noche;no;no;1;0,29
autopista;4;0,09;25;luz;lluvioso;no;no;tarde;no;no;2;0,14
urban;3;0,15;35;luz;lluvioso;si;no;mañana;si;no;0;0,1
autopista;2;0,61;45;poca_luz;lluvioso;si;si;mañana;no;si;2;0,27
autopista;2;0,63;25;noche;despejado;si;si;noche;si;si;0;0,3
urban;3;0,47;70;poca_luz;neblina;no;no;noche;no;si;0;0,41
urban;1;0,74;70;poca_luz;lluvioso;si;si;mañana;si;no;2;0,55
urban;4;0,33;35;poca_luz;lluvioso;no;no;tarde;si;si;1;0,25
rural;1;0,27;35;noche;lluvioso;no;si;noche;no;si;1;0,42
urban;1;0,19;25;noche;despejado;si;no;noche;no;no;3;0,33
rural;3;0,61;70;luz;despejado;no;si;mañana;si;si;2;0,37
autopista;2;0,8;45;poca_luz;lluvioso;no;si;noche;si;si;0;0,32
rural;4;0,03;35;luz;despejado;no;si;noche;si;si;0;0
urban;1;0,16;25;poca_luz;despejado;no;no;tarde;si;no;2;0,08
autopista;2;0,85;25;noche;despejado;si;si;mañana;no;si;0;0,39
autopista;1;0,02;45;noche;despejado;si;no;tarde;no;si;0;0,18
autopista;3;0,04;25;poca_luz;lluvioso;no;no;tarde;si;no;1;0,05
rural;3;0,52;25;luz;despejado;no;si;tarde;si;no;3;0,27
urban;1;0,37;25;poca_luz;lluvioso;si;no;noche;no;no;1;0,24
autopista;2;0,77;60;poca_luz;lluvioso;no;no;noche;no;si;2;0,57
autopista;1;0,65;35;luz;lluvioso;no;si;noche;si;si;1;0,4
autopista;4;0,19;60;noche;despejado;no;si;tarde;si;si;2;0,47
rural;1;0,34;45;poca_luz;despejado;no;si;mañana;si;si;0;0,1
rural;4;0,09;35;noche;lluvioso;si;no;noche;si;si;4;0,44
urban;1;0,09;70;luz;despejado;si;si;mañana;no;no;0;0,17
rural;4;0,98;70;poca_luz;despejado;no;si;mañana;no;no;1;0,52
autopista;2;0,04;60;noche;despejado;no;si;noche;si;no;2;0,4
urban;1;0,18;70;noche;lluvioso;si;si;tarde;si;si;3;0,66
autopista;1;0,4;45;luz;despejado;si;no;tarde;no;si;2;0,11
autopista;4;0,59;25;luz;neblina;si;no;mañana;si;no;1;0,35
rural;3;0,95;45;noche;neblina;si;si;noche;no;si;0;0,58
urban;2;0,39;25;noche;neblina;no;si;noche;si;no;1;0,45
rural;3;0,19;70;poca_luz;lluvioso;si;no;tarde;no;si;1;0,39
rural;3;0,49;70;noche;despejado;si;no;noche;si;si;2;0,56
urban;1;0,77;45;noche;lluvioso;si;no;tarde;si;no;0;0,52
autopista;1;0,26;70;poca_luz;lluvioso;no;no;tarde;si;no;0;0,32
autopista;1;0,17;45;poca_luz;despejado;si;si;tarde;si;no;2;0,05
urban;3;0,72;25;luz;despejado;si;si;noche;si;no;1;0,17
autopista;2;0,52;70;poca_luz;lluvioso;si;no;tarde;no;si;1;0,5
urban;4;0,68;70;luz;neblina;si;no;noche;no;no;1;0,63
urban;4;0,37;25;luz;neblina;no;si;mañana;no;no;0;0,22
rural;4;0,81;35;poca_luz;lluvioso;si;si;noche;no;si;1;0,34
urban;2;0,42;35;luz;lluvioso;si;si;mañana;no;no;0;0,17
rural;3;0,66;60;noche;lluvioso;no;no;mañana;no;si;0;0,68
autopista;3;0,38;60;luz;neblina;si;no;noche;no;no;1;0,41
autopista;2;0,57;60;poca_luz;lluvioso;si;no;tarde;si;no;3;0,58
autopista;1;0,57;25;poca_luz;neblina;si;no;mañana;no;si;2;0,31
autopista;2;0,8;35;luz;despejado;no;si;tarde;si;si;0;0,24
rural;3;0,1;60;luz;despejado;si;si;noche;si;si;1;0,25
autopista;4;0,23;35;noche;lluvioso;si;no;noche;no;si;0;0,29
urban;4;0,29;45;luz;neblina;no;no;noche;si;si;2;0,19
urban;4;0,51;45;luz;despejado;no;no;noche;si;si;1;0,16
urban;1;0,91;25;noche;neblina;no;si;mañana;si;si;2;0,55
rural;1;0,8;25;poca_luz;despejado;si;si;tarde;no;si;1;0,12
autopista;2;0,84;35;poca_luz;despejado;no;no;tarde;no;no;0;0,29
autopista;4;0,34;25;luz;lluvioso;no;no;mañana;no;si;3;0,39
autopista;1;0,33;35;luz;lluvioso;no;no;tarde;si;no;1;0,09
rural;3;0,7;60;luz;neblina;si;si;noche;no;si;1;0,53
urban;2;0,86;45;luz;neblina;no;si;noche;si;si;1;0,43
urban;3;0,96;45;luz;neblina;no;no;tarde;si;no;1;0,42
autopista;3;0,36;25;noche;despejado;no;no;tarde;si;no;2;0,33
urban;4;0,63;35;poca_luz;neblina;no;no;tarde;no;no;2;0,34
urban;3;0,7;45;poca_luz;neblina;no;no;mañana;no;si;1;0,3
rural;4;0,9;35;noche;neblina;no;no;tarde;si;si;0;0,59
rural;2;0,74;25;poca_luz;neblina;no;si;mañana;no;si;2;0,36
rural;3;0,43;35;luz;despejado;si;si;tarde;no;no;2;0,07
rural;4;0,77;60;noche;neblina;no;si;noche;si;si;1;0,75
autopista;3;0,45;60;poca_luz;lluvioso;si;no;mañana;si;no;3;0,5
rural;1;0,99;70;noche;lluvioso;no;si;noche;no;no;2;0,86
urban;1;0,37;70;noche;lluvioso;no;si;tarde;no;si;1;0,58
autopista;3;0,07;70;noche;neblina;no;no;noche;si;si;2;0,53
urban;1;0,71;25;luz;neblina;no;si;mañana;no;no;2;0,27
urban;2;0,3;45;poca_luz;despejado;no;si;tarde;si;si;3;0,17
urban;1;0,71;25;poca_luz;lluvioso;si;si;mañana;no;si;1;0,25
rural;2;0,08;35;noche;lluvioso;si;si;mañana;no;si;0;0,29
rural;4;0,99;60;luz;neblina;no;no;noche;no;si;2;0,66
autopista;2;0,8;60;luz;lluvioso;no;si;noche;si;si;1;0,56
autopista;4;0,69;70;luz;despejado;no;no;tarde;no;si;2;0,34
rural;1;0,64;70;noche;despejado;si;si;noche;si;no;4;0,69
urban;4;0,14;45;poca_luz;despejado;no;no;mañana;si;si;2;0
autopista;1;0,14;45;luz;despejado;si;no;noche;no;no;0;0,03
rural;4;0,08;25;poca_luz;lluvioso;no;si;tarde;si;no;1;0,14
rural;2;0,76;45;poca_luz;despejado;no;no;tarde;no;no;0;0,19
rural;3;0,71;70;poca_luz;despejado;no;si;noche;no;si;1;0,39
urban;3;0,87;45;poca_luz;lluvioso;no;no;mañana;si;no;0;0,31
rural;3;0,65;25;noche;lluvioso;si;no;mañana;no;si;0;0,55
rural;4;0,4;70;noche;neblina;si;si;tarde;no;no;6;0,66
rural;3;0,9;25;noche;despejado;si;no;tarde;si;no;2;0,46
rural;1;0,62;70;poca_luz;despejado;no;si;tarde;no;si;4;0,46
autopista;1;0,05;70;poca_luz;lluvioso;si;no;mañana;si;si;2;0,27
autopista;2;0,9;70;luz;lluvioso;si;no;tarde;no;no;1;0,62
rural;4;0,87;35;noche;despejado;no;no;tarde;no;no;2;0,43
urban;2;0,76;35;noche;despejado;no;si;mañana;si;no;0;0,51
autopista;3;0,93;35;luz;lluvioso;no;no;tarde;si;no;0;0,35
rural;4;0,4;45;poca_luz;lluvioso;si;no;tarde;no;no;2;0,22
autopista;2;0,84;45;poca_luz;neblina;si;si;mañana;si;no;0;0,33
autopista;1;0,93;45;noche;despejado;no;no;tarde;si;si;3;0,58
urban;3;0,79;60;noche;neblina;no;no;noche;si;no;1;0,73
rural;3;0,73;60;noche;neblina;no;no;noche;si;no;1;0,75
rural;3;0,36;45;luz;lluvioso;si;si;noche;si;si;2;0,15
urban;2;0,34;70;noche;despejado;si;si;mañana;si;no;4;0,58
urban;3;0,9;70;luz;neblina;si;si;mañana;no;si;1;0,62
rural;1;0,18;25;poca_luz;neblina;si;no;mañana;si;si;1;0,19
rural;3;0,04;60;luz;despejado;no;si;mañana;si;no;2;0,22
urban;2;0,64;25;poca_luz;neblina;no;no;noche;no;no;2;0,28
autopista;2;0,34;35;poca_luz;lluvioso;si;si;tarde;no;si;1;0,2
autopista;3;0,73;60;luz;despejado;no;no;tarde;si;si;0;0,37
urban;3;1;70;noche;lluvioso;no;si;noche;si;si;5;0,85
autopista;2;0,22;25;poca_luz;neblina;no;no;noche;si;no;3;0,28
urban;1;0,32;70;poca_luz;lluvioso;no;si;noche;no;no;3;0,49
autopista;1;0,6;35;poca_luz;neblina;no;si;mañana;si;si;4;0,37
autopista;3;0,66;45;luz;neblina;si;no;mañana;no;si;4;0,4
rural;3;0,99;45;poca_luz;lluvioso;no;no;tarde;si;si;2;0,44
rural;3;0,5;60;noche;despejado;si;si;noche;si;si;1;0,55
autopista;2;0,22;35;poca_luz;lluvioso;si;no;mañana;si;no;1;0,18
autopista;4;0,88;60;luz;neblina;no;no;mañana;si;si;1;0,56
rural;4;0,71;45;poca_luz;neblina;si;si;mañana;si;si;2;0,31
rural;2;0,62;60;noche;neblina;no;no;mañana;no;si;1;0,71
rural;3;0,86;45;luz;despejado;no;si;noche;no;si;2;0,32
urban;4;0,08;25;poca_luz;neblina;no;si;mañana;no;si;1;0,16
autopista;2;0,45;35;luz;despejado;si;si;tarde;no;si;1;0,07
rural;2;0,89;60;luz;neblina;si;si;tarde;si;no;3;0,65
autopista;1;0,08;25;noche;lluvioso;si;no;tarde;si;si;2;0,3
urban;2;0,57;35;luz;lluvioso;no;si;mañana;si;no;0;0,32
urban;3;0,31;45;luz;despejado;si;no;noche;si;no;4;0,15
rural;1;0,57;25;luz;despejado;si;si;noche;no;si;2;0,16
urban;4;0,1;45;poca_luz;despejado;no;si;noche;si;si;4;0,24
autopista;2;0,54;70;poca_luz;lluvioso;no;si;tarde;no;si;3;0,51
rural;1;0,51;45;noche;neblina;si;si;tarde;no;si;5;0,56
autopista;2;0,06;60;poca_luz;neblina;si;no;tarde;no;si;0;0,34
autopista;2;0,23;60;luz;lluvioso;no;no;mañana;si;si;1;0,32
urban;1;0,13;60;poca_luz;neblina;no;no;noche;no;no;1;0,4
urban;4;0,48;60;poca_luz;despejado;si;si;mañana;si;no;1;0,25
urban;2;0,28;25;luz;despejado;no;si;tarde;no;no;1;0,17
urban;3;0,52;45;poca_luz;neblina;no;no;mañana;si;si;0;0,2
urban;4;0,56;70;noche;neblina;si;si;mañana;no;no;4;0,68
rural;4;0,01;25;noche;lluvioso;si;si;mañana;si;si;1;0,31
autopista;2;0,87;35;noche;lluvioso;si;no;tarde;no;no;2;0,58
autopista;4;0,15;60;poca_luz;neblina;si;no;mañana;si;no;1;0,38
autopista;1;0,84;35;poca_luz;neblina;no;no;mañana;no;no;1;0,37
autopista;1;0,54;25;luz;lluvioso;no;no;tarde;no;no;1;0,31
urban;4;0,23;45;noche;lluvioso;si;si;tarde;si;no;0;0,42
autopista;2;0,78;25;luz;lluvioso;no;no;tarde;si;si;0;0,38
rural;3;0,65;25;poca_luz;lluvioso;si;si;tarde;no;si;1;0,25
rural;2;0,65;45;noche;lluvioso;no;no;tarde;si;si;3;0,58
autopista;2;0,31;70;poca_luz;despejado;no;si;tarde;no;si;0;0,26
autopista;2;0,4;60;luz;lluvioso;no;no;mañana;si;no;2;0,44
rural;4;0,54;35;poca_luz;lluvioso;no;no;tarde;no;si;1;0,28
rural;4;0,37;45;luz;despejado;no;no;mañana;si;no;1;0,23
urban;2;0,36;60;luz;despejado;no;no;tarde;si;si;0;0,27
rural;3;0,84;60;luz;neblina;si;si;noche;no;si;2;0,55
urban;2;0,96;60;luz;despejado;no;no;tarde;no;si;1;0,55
urban;3;0,48;60;poca_luz;despejado;no;no;tarde;no;no;2;0,35
urban;2;0,86;60;poca_luz;despejado;no;si;mañana;si;si;2;0,47
urban;3;0,8;60;poca_luz;despejado;si;no;noche;si;no;1;0,5
urban;2;0,49;70;luz;lluvioso;si;no;noche;si;no;1;0,5
autopista;1;0,66;25;luz;neblina;si;si;tarde;si;si;0;0,23
rural;4;0,07;35;noche;neblina;no;no;mañana;no;no;0;0,34
urban;2;0,64;70;luz;neblina;si;si;noche;no;no;2;0,5
rural;4;0,24;70;poca_luz;lluvioso;no;no;tarde;si;no;2;0,35
rural;2;0,94;70;poca_luz;neblina;si;si;tarde;no;no;1;0,59
urban;4;0,67;45;noche;lluvioso;no;no;tarde;no;no;3;0,67
autopista;1;0,62;35;poca_luz;neblina;si;no;mañana;si;no;3;0,41
urban;4;0,91;45;luz;lluvioso;si;si;noche;si;no;2;0,43
autopista;1;0,75;70;poca_luz;neblina;no;no;noche;no;no;0;0,5
rural;4;0,42;35;noche;neblina;no;si;noche;no;no;4;0,57
autopista;2;0,79;60;luz;lluvioso;no;no;noche;no;no;2;0,49
autopista;3;0,93;25;poca_luz;despejado;si;si;mañana;si;no;1;0,29
autopista;4;0,94;45;noche;despejado;si;si;mañana;si;no;1;0,54
rural;1;0,25;35;noche;lluvioso;si;si;noche;no;si;0;0,43
rural;1;0,55;60;noche;neblina;no;no;tarde;si;no;1;0,67
autopista;4;0,79;70;luz;neblina;si;si;noche;si;no;0;0,47
autopista;1;0,98;60;poca_luz;despejado;si;si;tarde;no;si;1;0,47
urban;1;0,09;35;luz;despejado;no;no;tarde;no;si;2;0,06
autopista;1;0,77;25;poca_luz;neblina;si;si;tarde;si;si;0;0,31
urban;1;0,45;25;poca_luz;despejado;si;no;tarde;si;no;3;0,21
autopista;4;0,84;70;noche;despejado;no;si;noche;no;si;0;0,7
urban;2;0,75;60;noche;neblina;no;si;mañana;si;si;1;0,73
rural;2;0,45;25;poca_luz;lluvioso;si;no;tarde;no;no;2;0,26
autopista;1;0,93;70;poca_luz;despejado;si;si;tarde;si;si;3;0,49
autopista;3;0,37;70;luz;lluvioso;si;si;mañana;no;si;1;0,42
autopista;4;0,39;60;noche;lluvioso;si;si;mañana;no;si;1;0,64
autopista;4;0,76;70;poca_luz;despejado;no;si;tarde;si;si;1;0,4
urban;3;0,26;35;poca_luz;lluvioso;si;no;mañana;no;no;1;0,19
autopista;4;0,77;70;luz;lluvioso;no;si;tarde;no;si;1;0,61
rural;3;0,8;35;luz;neblina;no;no;noche;no;si;0;0,37
rural;2;0,72;25;luz;despejado;si;no;noche;si;si;2;0,19
autopista;2;0,38;25;poca_luz;lluvioso;si;no;mañana;no;si;0;0,28
rural;2;0,47;25;poca_luz;neblina;no;si;noche;si;si;1;0,19
autopista;2;0,55;35;poca_luz;lluvioso;no;si;mañana;si;si;3;0,37
autopista;1;0,13;60;poca_luz;despejado;no;si;noche;no;no;0;0,22
rural;1;0,37;25;noche;despejado;si;no;mañana;si;no;0;0,38
autopista;4;0,16;70;noche;despejado;si;no;noche;no;si;1;0,41
rural;3;0,28;25;luz;despejado;si;no;mañana;si;no;1;0,12
urban;3;0,9;45;noche;lluvioso;no;no;noche;no;si;2;0,55
autopista;1;0,06;45;noche;despejado;si;no;noche;si;no;0;0,2
urban;3;0,55;45;poca_luz;neblina;no;no;noche;no;no;3;0,36
rural;2;0,44;45;noche;despejado;no;si;noche;no;no;2;0,29
urban;3;0,67;45;poca_luz;lluvioso;no;si;noche;si;si;2;0,31
urban;2;0,96;60;poca_luz;lluvioso;no;si;noche;si;si;0;0,48
rural;4;0,46;35;noche;neblina;no;no;noche;no;si;2;0,37
